"branch","flightCode","departureDateTime","departureAirPort","arrivalDateTime","arrivalAirPort","price"
1,"VJ120","2020-09-24 22:50:00",12,"2020-09-25 01:00:00",1,778900
1,"VJ122","2020-09-24 23:25:00",12,"2020-09-25 01:35:00",1,778900
1,"VJ124","2020-09-25 00:20:00",12,"2020-09-25 02:30:00",1,778900
1,"VJ166","2020-09-25 02:25:00",12,"2020-09-25 04:35:00",1,778900
1,"VJ140","2020-09-25 02:55:00",12,"2020-09-25 05:05:00",1,778900
1,"VJ126","2020-09-25 03:25:00",12,"2020-09-25 05:35:00",1,778900
1,"VJ130","2020-09-25 04:10:00",12,"2020-09-25 06:20:00",1,778900
1,"VJ150","2020-09-25 05:20:00",12,"2020-09-25 07:30:00",1,778900
1,"VJ198","2020-09-25 07:15:00",12,"2020-09-25 09:25:00",1,778900
1,"VJ168","2020-09-25 10:30:00",12,"2020-09-25 12:40:00",1,778900
1,"VJ158","2020-09-25 11:05:00",12,"2020-09-25 13:15:00",1,778900
1,"VJ132","2020-09-25 11:10:00",12,"2020-09-25 13:20:00",1,778900
1,"VJ156","2020-09-25 12:35:00",12,"2020-09-25 14:45:00",1,778900
1,"VJ178","2020-09-25 12:55:00",12,"2020-09-25 15:05:00",1,778900
1,"VJ148","2020-09-25 13:50:00",12,"2020-09-25 16:00:00",1,778900
3,"QH202","2020-09-24 22:45:00",12,"2020-09-25 00:55:00",1,954900
3,"QH210","2020-09-25 00:05:00",12,"2020-09-25 02:10:00",1,954900
3,"QH8280","2020-09-25 00:40:00",12,"2020-09-25 02:50:00",1,954900
3,"QH8282","2020-09-25 07:00:00",12,"2020-09-25 09:10:00",1,954900
3,"QH208","2020-09-25 13:55:00",12,"2020-09-25 16:05:00",1,954900
3,"QH218","2020-09-25 03:40:00",12,"2020-09-25 05:50:00",1,1064.9
3,"QH204","2020-09-25 07:55:00",12,"2020-09-25 10:05:00",1,1064.9
3,"QH206","2020-09-25 11:00:00",12,"2020-09-25 13:10:00",1,1064.9
